File_Name,Noisy_PESQ,Enhan_PESQ,Noisy_STOI,Enhan_STOI
SP05_320__engine_n4db,0.944,1.274,0.5980945800015044,0.651637167998132

total mean,0.944,1.274,0.5980945800015044,0.651637167998132
